signal_date,network,relation_type,n_nodes,n_edges,density,nodes_with_edge,node_coverage,isolated_nodes,degree_min,degree_median,degree_max,weight_min,weight_median,weight_max,corr_threshold,window,window_length,pairs_insufficient_overlap,pairs_below_threshold,pairs_zero_variance,pairs_nonfinite_rho,pairs_with_nan_in_window,limitation
2025-04-02,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2025-04-10,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2025-04-17,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2025-04-24,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2025-05-06,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2025-05-13,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2025-05-20,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2025-05-27,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2025-06-04,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2025-06-11,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2025-06-18,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2025-06-25,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2025-07-02,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2025-07-09,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2025-07-16,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2025-07-23,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2025-07-30,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2025-08-06,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2025-08-13,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2025-08-20,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2025-08-27,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2025-09-03,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2025-09-10,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2025-09-17,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2025-09-24,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2025-10-09,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2025-10-16,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2025-10-23,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2025-10-30,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2025-11-06,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2025-11-13,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2025-11-20,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2025-11-27,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2025-12-04,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2025-12-11,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2025-12-18,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2025-12-25,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2026-01-05,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2026-01-12,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2026-01-19,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2026-01-26,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2026-02-02,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2026-02-09,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2026-02-24,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2026-03-03,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2026-03-10,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2026-03-17,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2026-03-24,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2026-03-31,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
2026-04-08,W-ind,industry_cooccurrence,99,2401,0.494949494949495,99,1.0,0,48,49.0,49,1.0,1.0,1.0,0.4,60,0,0,0,0,0,0,与截面中性化所用行业哑变量同源，传播项可能被正交化吸收；须做去共线消融
